Registration Number,year,gender,highSchoolTrack,continuousAssessment,finalExam,finalGrade
100606916,2017-2018,female,social sciences,3.3,5.89,4.336
100546371,2017-2018,male,sciences,6.21,7.81,6.85
100566523,2017-2018,female,sciences,8,6.54,7.416
100426611,2017-2018,female,sciences,6.38,5.74,6.124
100641225,2017-2018,female,sciences,7.33,5.9,6.758
100743520,2017-2018,male,sciences,8.03,7.15,7.678
100320488,2017-2018,male,social sciences,2.78,3.93,3.24
100486983,2017-2018,male,sciences,4.97,6.35,5.522
100368048,2017-2018,male,social sciences,3.22,6.9,4.692
100527974,2017-2018,female,sciences,5.86,4.49,5.312
100588382,2017-2018,female,sciences,6.96,7.99,7.372
100713807,2017-2018,female,sciences,6.54,8.41,7.288
100759573,2017-2018,male,sciences,7.61,8.43,7.938
100446599,2017-2018,male,sciences,6.73,8.55,7.458
100613061,2017-2018,male,humanities,5.75,6.02,5.858
100926863,2017-2018,male,sciences,7.51,8.08,7.738
100746473,2017-2018,female,sciences,7.41,6.62,7.094
100798924,2017-2018,male,sciences,9.39,10,9.634
100791042,2017-2018,female,social sciences,10,5.55,8.22
100862419,2017-2018,male,sciences,7.96,8.7,8.256
100879933,2017-2018,female,sciences,8.32,9.65,8.852
100548527,2017-2018,male,social sciences,6.47,3.69,5.358
100444685,2017-2018,female,humanities,4.11,5.63,4.718
100966086,2017-2018,male,social sciences,5.56,8.91,6.9
100961341,2017-2018,male,social sciences,7.29,2.45,5.354
100749730,2017-2018,male,sciences,9.58,8.45,9.128
100462022,2017-2018,male,humanities,4.94,6.33,5.496
100644872,2017-2018,female,humanities,4.91,5.62,5.194
100800437,2017-2018,female,sciences,8.39,8.67,8.502
100924966,2017-2018,female,humanities,4.91,6.08,5.378
100499093,2017-2018,male,sciences,8.09,8.26,8.158
100450449,2017-2018,female,humanities,4.26,4.22,4.244
100848329,2017-2018,male,sciences,5.77,6.18,5.934
100730999,2017-2018,female,sciences,6.79,8.57,7.502
100910029,2017-2018,male,humanities,3.34,5.32,4.132
100441882,2017-2018,female,social sciences,2.88,4.52,3.536
100451667,2017-2018,male,social sciences,6.14,4.55,5.504
100867123,2017-2018,male,sciences,7.25,7.33,7.282
100685846,2017-2018,female,sciences,6.42,4.1,5.492
100842903,2017-2018,female,sciences,7.04,6.52,6.832
100375420,2017-2018,female,sciences,7.05,8.08,7.462
100920714,2017-2018,male,humanities,6.54,6.12,6.372
100870603,2017-2018,male,social sciences,4.18,4.57,4.336
100606076,2017-2018,male,humanities,4.2,5.96,4.904
100884123,2017-2018,female,social sciences,7.27,6.86,7.106
100382393,2017-2018,female,humanities,4.19,4.67,4.382
100908371,2017-2018,female,social sciences,6.23,7.04,6.554
100542528,2017-2018,male,humanities,2.07,4.87,3.19
100408076,2017-2018,female,sciences,6.71,8.63,7.478
100912118,2017-2018,female,humanities,2.63,4.68,3.45
100739327,2017-2018,male,sciences,6.93,6.9,6.918
100847694,2017-2018,male,sciences,7.77,7.57,7.69
100462064,2017-2018,male,sciences,7.68,7.67,7.676
100786536,2017-2018,male,sciences,7.19,7.92,7.482
100517353,2017-2018,male,sciences,5.66,3.44,4.772
100501720,2017-2018,female,sciences,8.3,9.65,8.84
100949789,2017-2018,male,social sciences,7.38,8.33,7.76
100750397,2017-2018,female,social sciences,6.95,2.35,5.11
100956438,2017-2018,male,sciences,7.88,9.17,8.396
100670198,2017-2018,male,sciences,6.42,6.87,6.6
100288995,2017-2018,female,sciences,6.74,7.28,6.956
100378974,2017-2018,male,social sciences,6.63,6.35,6.518
100552992,2017-2018,male,humanities,4.22,4.25,4.232
100961246,2017-2018,male,sciences,6.21,6.42,6.294
100976364,2017-2018,male,social sciences,4.45,7.05,5.49
100924532,2017-2018,female,humanities,4.33,3.15,3.858
100956441,2017-2018,female,social sciences,5.18,5.67,5.376
100396171,2017-2018,female,sciences,8.41,9.05,8.666
100895626,2017-2018,male,sciences,8.4,9.58,8.872
100475874,2017-2018,female,sciences,7.93,8.24,8.054
100558251,2017-2018,female,social sciences,4.87,5.55,5.142
100779505,2017-2018,male,social sciences,2.82,4.37,3.44
100814328,2017-2018,female,sciences,8.55,8.63,8.582
100573152,2017-2018,male,social sciences,6.61,6.85,6.706
100454148,2017-2018,female,social sciences,7.72,6.37,7.18
100615083,2017-2018,male,social sciences,6.06,3.6,5.076
100626357,2017-2018,female,sciences,5.92,6.18,6.024
100601561,2017-2018,male,social sciences,7.87,2.91,5.886
100998069,2017-2018,male,sciences,6.34,8.09,7.04
100587158,2017-2018,female,social sciences,4.75,2.49,3.846
100404071,2017-2018,male,sciences,6.95,7.38,7.122
100281539,2017-2018,female,social sciences,1.94,2.25,2.064
100653113,2017-2018,male,sciences,6.44,8.53,7.276
100396342,2017-2018,male,sciences,6.3,5.72,6.068
100680934,2017-2018,male,social sciences,7.43,5.39,6.614
100441800,2017-2018,female,sciences,8.36,9.06,8.64
100736632,2017-2018,male,social sciences,4.06,4.96,4.42
100779887,2017-2018,male,social sciences,3.36,5.04,4.032
100845861,2017-2018,male,sciences,6.87,10,8.122
100538470,2017-2018,male,social sciences,9.6,7.59,8.796
100781908,2017-2018,female,social sciences,6.2,7.22,6.608
100536346,2017-2018,female,sciences,7.91,8.66,8.21
100470138,2017-2018,male,sciences,7.3,7.52,7.388
100693861,2017-2018,male,sciences,7.33,10,8.398
100360756,2017-2018,female,social sciences,2.76,5.73,3.948
100944668,2017-2018,male,sciences,7.08,5.35,6.388
100348935,2017-2018,female,sciences,6.59,8.67,7.422
100493201,2017-2018,male,sciences,7.03,8.49,7.614
100384715,2017-2018,male,sciences,6.22,6.65,6.392
100594377,2017-2018,male,humanities,6.36,7.48,6.808
100565389,2017-2018,female,humanities,6.06,5.6,5.876
100905435,2017-2018,female,sciences,7.08,6.43,6.82
100674662,2017-2018,female,sciences,7.54,6.22,7.012
100453777,2017-2018,male,social sciences,3.86,2.24,3.212
100862927,2017-2018,female,sciences,6.73,7.93,7.21
100748785,2017-2018,female,social sciences,4.06,5.61,4.68
100425469,2017-2018,male,sciences,5.79,6.06,5.898
100547441,2017-2018,male,sciences,7.39,8.5,7.834
100546939,2017-2018,female,humanities,4.75,5.3,4.97
100727370,2017-2018,male,sciences,7.81,9.04,8.302
100519220,2017-2018,male,sciences,7.14,9.25,7.984
100774266,2017-2018,female,humanities,5.27,6.71,5.846
100999142,2017-2018,female,sciences,5.44,3.5,4.664
100595782,2017-2018,male,sciences,7.33,8.82,7.926
100384226,2017-2018,male,social sciences,4.51,5.32,4.834
100665010,2017-2018,male,social sciences,5.54,6.29,5.84
100629125,2017-2018,male,social sciences,5.24,5.02,5.152
100582324,2017-2018,female,sciences,6.23,7.9,6.898
100452624,2017-2018,female,sciences,9.38,8.87,9.176
100550424,2017-2018,male,humanities,6.19,5.61,5.958
100829850,2018-2019,male,social sciences,4.35,NA,NA
100686438,2018-2019,male,social sciences,8.08,NA,NA
100677393,2018-2019,male,sciences,7.34,NA,NA
100733966,2018-2019,male,sciences,7.33,NA,NA
100302470,2018-2019,female,sciences,8.79,NA,NA
100946055,2018-2019,female,sciences,8.73,NA,NA
100866870,2018-2019,female,social sciences,6.49,NA,NA
100547506,2018-2019,male,sciences,7.08,NA,NA
100780504,2018-2019,female,sciences,6.48,NA,NA
100369767,2018-2019,female,social sciences,4.45,NA,NA
100570509,2018-2019,female,social sciences,5.13,NA,NA
100427435,2018-2019,male,social sciences,6.1,NA,NA
100534445,2018-2019,male,sciences,7.79,NA,NA
100724097,2018-2019,female,social sciences,1.53,NA,NA
100950366,2018-2019,female,sciences,7.95,NA,NA
100524432,2018-2019,male,social sciences,4.54,NA,NA
100954321,2018-2019,male,sciences,7.95,NA,NA
100609886,2018-2019,female,sciences,5.68,NA,NA
100350774,2018-2019,female,sciences,7.25,NA,NA
100862048,2018-2019,female,sciences,6.94,NA,NA
100613265,2018-2019,male,sciences,7.65,NA,NA
100746195,2018-2019,female,social sciences,6.24,NA,NA
100607340,2018-2019,male,humanities,4.08,NA,NA
100513543,2018-2019,male,humanities,3.48,NA,NA
100533557,2018-2019,female,sciences,6.92,NA,NA
100742298,2018-2019,male,social sciences,6.15,NA,NA
100931183,2018-2019,male,sciences,6.27,NA,NA
100970207,2018-2019,female,social sciences,6,NA,NA
100613324,2018-2019,female,social sciences,4.43,NA,NA
100708353,2018-2019,female,sciences,7.29,NA,NA
